HEADING,LOCA_ID,LOCA_TYPE,LOCA_STAT,LOCA_NATE,LOCA_NATN,LOCA_GL,LOCA_REM,LOCA_FDEP,LOCA_STAR,LOCA_PURP,LOCA_TERM,LOCA_ENDD,LOCA_DATM,LOCA_LAT,LOCA_LON,LOCA_LLZ,LOCA_WDEP
DATA,HKW077-PCPT,SCP,Final,544397.0,5831786.0,,"",50.74,2019-05-17,"","","","","","","",30.0
DATA,HKW077-SCPT,SCP,Final,544400.54,5831782.75,,"",55.0,2019-05-31,"","","","","","","",30.0
DATA,HKW077-TCPT,SCP,Final,544399.45,5831779.81,,"",6.45,2019-06-01,"","","","","","","",30.0
DATA,HKW078-PCPT,SCP,Final,548741.82,5830956.8,,"",52.88,2019-05-27,"","","","","","","",28.0
DATA,HKW079-PCPT,SCP,Final,552587.69,5829822.65,,"",54.96,2019-05-29,"","","","","","","",29.0
DATA,HKW080-PCPT,SCP,Final,542279.49,5831371.64,,"",53.5,2019-05-17,"","","","","","","",30.0
DATA,HKW081-PCPT,SCP,Final,543070.54,5831222.45,,"",52.73,2019-05-17,"","","","","","","",30.0
DATA,HKW082-PCPT,SCP,Final,543883.56,5831064.31,,"",50.2,2019-05-17,"","","","","","","",30.0
DATA,HKW082-TCPT,SCP,Final,543887.86,5831061.56,,"",6.38,2019-06-01,"","","","","","","",30.0
DATA,HKW083-PCPT,SCP,Final,544673.0,5830919.0,,"",50.7,2019-05-17,"","","","","","","",29.0
DATA,HKW084-PCPT,SCP,Final,545445.0,5830757.0,,"",49.27,2019-05-17,"","","","","","","",30.0
DATA,HKW084-SCPT-A,SCP,Final,545445.12,5830754.66,,"",51.71,2019-05-31,"","","","","","","",27.0
DATA,HKW085-PCPT,SCP,Final,546224.14,5830620.15,,"",51.6,2019-05-16,"","","","","","","",28.0
DATA,HKW086-PCPT,SCP,Final,548588.52,5830166.56,,"",54.4,2019-05-27,"","","","","","","",26.0
DATA,HKW087-PCPT,SCP,Final,549364.68,5830011.72,,"",54.11,2019-05-27,"","","","","","","",24.0
DATA,HKW088-PCPT,SCP,Final,550138.43,5829876.34,,"",54.55,2019-05-20,"","","","","","","",27.0
DATA,HKW089-PCPT,SCP,Final,550950.12,5829715.78,,"",53.11,2019-05-20,"","","","","","","",29.0
DATA,HKW090-PCPT,SCP,Final,551736.77,5829568.0,,"",54.89,2019-05-29,"","","","","","","",27.0
DATA,HKW091-PCPT,SCP,Final,552816.47,5828957.26,,"",55.03,2019-05-29,"","","","","","","",30.0
DATA,HKW092-PCPT,SCP,Final,542529.43,5830513.7,,"",47.12,2019-05-18,"","","","","","","",30.0
DATA,HKW093-PCPT,SCP,Final,544908.0,5830059.0,,"",42.63,2019-05-17,"","","","","","","",30.0
DATA,HKW094-PCPT,SCP,Final,546072.91,5829835.69,,"",46.74,2019-05-16,"","","","","","","",29.0
DATA,HKW094-TCPT,SCP,Final,546070.5,5829835.97,,"",6.26,2019-06-01,"","","","","","","",30.0
DATA,HKW095-PCPT,SCP,Final,548833.1,5829307.62,,"",54.04,2019-05-27,"","","","","","","",26.0
DATA,HKW096-PCPT,SCP,Final,550802.21,5828939.95,,"",54.76,2019-05-19,"","","","","","","",32.0
DATA,HKW096-SCPT,SCP,Final,550799.29,5828936.01,,"",55.69,2019-05-29,"","","","","","","",31.4
DATA,HKW097-PCPT,SCP,Final,541307.48,5830337.5,,"",44.72,2019-05-17,"","","","","","","",30.0
DATA,HKW098-PCPT,SCP,Final,543161.72,5829574.52,,"",34.32,2019-05-18,"","","","","","","",31.0
DATA,HKW099-PCPT,SCP,Final,545921.79,5829050.99,,"",52.57,2019-05-18,"","","","","","","",29.0
DATA,HKW100-PCPT,SCP,Final,546708.33,5828894.98,,"",52.25,2019-05-18,"","","","","","","",28.0
DATA,HKW101-PCPT,SCP,Final,548290.32,5828593.4,,"",54.66,2019-05-20,"","","","","","","",27.0
DATA,HKW101-SCPT,SCP,Final,548287.01,5828598.05,,"",54.72,2019-05-30,"","","","","","","",27.0
DATA,HKW101-TCPT,SCP,Final,548287.5,5828594.28,,"",2.1,2019-06-01,"","","","","","","",27.0
DATA,HKW101-TCPT-A,SCP,Final,548293.46,5828595.36,,"",6.55,2019-06-01,"","","","","","","",27.0
DATA,HKW102-PCPT,SCP,Final,550253.0,5828235.09,,"",54.7,2019-05-19,"","","","","","","",30.0
DATA,HKW103-PCPT,SCP,Final,551430.25,5828008.7,,"",54.83,2019-05-19,"","","","","","","",30.0
DATA,HKW103-TCPT,SCP,Final,551424.06,5828009.28,,"",6.34,2019-06-02,"","","","","","","",30.0
DATA,HKW104-PCPT,SCP,Final,541908.17,5829410.48,,"",38.19,2019-05-18,"","","","","","","",32.0
DATA,HKW104-SCPT,SCP,Final,541904.15,5829406.72,,"",39.32,2019-05-31,"","","","","","","",32.0
DATA,HKW104-TCPT,SCP,Final,541907.83,5829402.57,,"",6.48,2019-06-01,"","","","","","","",32.0
DATA,HKW105-PCPT,SCP,Final,549379.74,5827981.85,,"",54.72,2019-05-20,"","","","","","","",25.0
DATA,HKW106-PCPT,SCP,Final,552521.93,5827388.78,,"",53.57,2019-05-19,"","","","","","","",29.0
DATA,HKW107-PCPT,SCP,Final,543125.54,5828769.29,,"",48.33,2019-05-18,"","","","","","","",30.0
DATA,HKW108-PCPT,SCP,Final,544608.75,5828488.07,,"",47.7,2019-05-18,"","","","","","","",30.0
DATA,HKW109-PCPT,SCP,Final,544070.92,5827774.37,,"",53.43,2019-05-18,"","","","","","","",29.0
DATA,HKW110-PCPT,SCP,Final,545624.75,5827490.4,,"",52.86,2019-05-18,"","","","","","","",31.0
DATA,HKW110-SCPT,SCP,Final,545628.71,5827487.21,,"",53.27,2019-05-31,"","","","","","","",30.0
DATA,HKW110-TCPT,SCP,Final,545622.2,5827488.85,,"",7.48,2019-06-01,"","","","","","","",30.0
DATA,HKW111-PCPT,SCP,Final,548389.4,5826946.46,,"",54.31,2019-05-20,"","","","","","","",24.0
DATA,HKW111-TCPT,SCP,Final,548392.39,5826944.01,,"",5.97,2019-06-01,"","","","","","","",23.0
DATA,HKW112-PCPT,SCP,Final,550728.55,5826504.63,,"",54.79,2019-05-19,"","","","","","","",31.5
DATA,HKW112-SCPT,SCP,Final,550731.77,5826502.73,,"",55.73,2019-05-29,"","","","","","","",31.0
DATA,HKW112-TCPT,SCP,Final,550724.75,5826499.97,,"",6.53,2019-06-01,"","","","","","","",32.0
DATA,HKW113-PCPT,SCP,Final,549387.09,5825942.18,,"",53.19,2019-05-19,"","","","","","","",25.0
DATA,HKW114-PCPT,SCP,Final,545804.24,5826217.71,,"",52.6,2019-05-18,"","","","","","","",28.0
DATA,HKW115-PCPT,SCP,Final,546597.0,5826072.0,,"",53.62,2019-05-19,"","","","","","","",28.0
DATA,HKW116-PCPT,SCP,Final,549980.8,5824612.04,,"",13.1,2019-05-19,"","","","","","","",32.0
DATA,HKW117-PCPT,SCP,Final,548317.47,5824521.54,,"",53.58,2019-05-19,"","","","","","","",24.0
DATA,HKW118-PCPT,SCP,Final,550431.27,5824936.48,,"",54.86,2019-05-29,"","","","","","","",30.0
DATA,HKW118-SCPT,SCP,Final,550426.71,5824932.41,,"",55.97,2019-05-29,"","","","","","","",30.0
DATA,HKW118-TCPT,SCP,Final,550432.56,5824930.18,,"",6.0,2019-06-01,"","","","","","","",30.0
